,title,url,category
66,Cù Rú bar,https://www.google.com/maps/search/?api=1&query=C%C3%B9%20R%C3%BA%20bar&query_place_id=ChIJw-XgXhYTcTER_X9H8gJLP04,cafe
67,Tiệm Chú Được - bánh mì & cà phê,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20Ch%C3%BA%20%C4%90%C6%B0%E1%BB%A3c%20-%20b%C3%A1nh%20m%C3%AC%20%26%20c%C3%A0%20ph%C3%AA&query_place_id=ChIJX3CzGBdtcTERAs6DNEvjM6k,cafe
68,Nhà của Tom,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20c%E1%BB%A7a%20Tom&query_place_id=ChIJ7R2axF4TcTERd76caK8WIV4,cafe
69,Cafe Cối Xay Nước,https://www.google.com/maps/search/?api=1&query=Cafe%20C%E1%BB%91i%20Xay%20N%C6%B0%E1%BB%9Bc&query_place_id=ChIJX8AQJboVcTER7MJTiRMkW1c,cafe
70,In The Forest Đà Lạt,https://www.google.com/maps/search/?api=1&query=In%20The%20Forest%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJixQz3VMTcTERy9b6x1AcN8E,cafe
71,Rain Dalat,https://www.google.com/maps/search/?api=1&query=Rain%20Dalat&query_place_id=ChIJCah-yDMTcTERMNBWM4JJ-2w,cafe
72,Cafe Tùng,https://www.google.com/maps/search/?api=1&query=Cafe%20T%C3%B9ng&query_place_id=ChIJB0LfrxUTcTERHyzyimpgQlg,cafe
73,Rainy Rhythm - Hidden Cocktail Bar,https://www.google.com/maps/search/?api=1&query=Rainy%20Rhythm%20-%20Hidden%20Cocktail%20Bar&query_place_id=ChIJmeUk2hATcTERtW2Jz5B2NFo,cafe
74,Eres Garden Coffee - Vườn cảm xúc,https://www.google.com/maps/search/?api=1&query=Eres%20Garden%20Coffee%20-%20V%C6%B0%E1%BB%9Dn%20c%E1%BA%A3m%20x%C3%BAc&query_place_id=ChIJFcjq-GQTcTERoUdzQatIhxM,cafe
75,Cafe Mê Linh,https://www.google.com/maps/search/?api=1&query=Cafe%20M%C3%AA%20Linh&query_place_id=ChIJQdQdK6ETcTERNy1q4nrZHfU,cafe
